Timestamp,Date,Transactions
1488412800000,2017-03-02,70779
1488499200000,2017-03-03,64294
1488585600000,2017-03-04,58756
1488672000000,2017-03-05,57031
1488758400000,2017-03-06,57020
1488844800000,2017-03-07,62589
1488931200000,2017-03-08,55386
1489017600000,2017-03-09,64266
1489104000000,2017-03-10,65132
1489190400000,2017-03-11,64803
1489276800000,2017-03-12,66646
1489363200000,2017-03-13,81718
1489449600000,2017-03-14,77155
1489536000000,2017-03-15,81205
1489622400000,2017-03-16,109950
1489708800000,2017-03-17,106635
1489795200000,2017-03-18,89920
1489881600000,2017-03-19,84599
1489968000000,2017-03-20,80264
1490054400000,2017-03-21,84298
1490140800000,2017-03-22,78821
1490227200000,2017-03-23,82434
1490313600000,2017-03-24,87775
1490400000000,2017-03-25,84394
1490486400000,2017-03-26,79534
1490572800000,2017-03-27,94570
1490659200000,2017-03-28,84348
1490745600000,2017-03-29,93064
1490832000000,2017-03-30,96209
1490918400000,2017-03-31,103102
1491004800000,2017-04-01,80572
1491091200000,2017-04-02,88948
1491177600000,2017-04-03,100221
1491264000000,2017-04-04,86279
1491350400000,2017-04-05,87411
1491436800000,2017-04-06,95177
1491523200000,2017-04-07,92846
1491609600000,2017-04-08,72144
1491696000000,2017-04-09,74557
1491782400000,2017-04-10,75487
1491868800000,2017-04-11,75891
1491955200000,2017-04-12,80347
1492041600000,2017-04-13,84124
1492128000000,2017-04-14,81155
1492214400000,2017-04-15,74820
1492300800000,2017-04-16,70634
1492387200000,2017-04-17,72546
1492473600000,2017-04-18,83303
1492560000000,2017-04-19,85734
1492646400000,2017-04-20,85450
1492732800000,2017-04-21,81278
1492819200000,2017-04-22,73539
1492905600000,2017-04-23,77073
1492992000000,2017-04-24,80531
1493078400000,2017-04-25,93033
1493164800000,2017-04-26,89642
1493251200000,2017-04-27,104494
1493337600000,2017-04-28,106193
1493424000000,2017-04-29,91335
1493510400000,2017-04-30,95202
1493596800000,2017-05-01,112202
1493683200000,2017-05-02,110354
1493769600000,2017-05-03,97334
1493856000000,2017-05-04,114877
1493942400000,2017-05-05,108514
1494028800000,2017-05-06,95014
1494115200000,2017-05-07,106631
1494201600000,2017-05-08,117509
1494288000000,2017-05-09,112933
